schema,function_name,signature,security_mode,secure_search_path,current_public_execute,current_anon_execute,current_authenticated_execute,current_service_role_execute,current_postgres_execute,actual_callers,repository_evidence,database_dependency_evidence,internal_authorization,authorization_details,definer_justification,rls_bypass_risk,financial_or_privileged_side_effect,recommended_acl,risk_level,proposed_action,confidence,notes
game_core,fn_manage_room_live_actions,game_core.fn_manage_room_live_actions(),SECURITY INVOKER,no,false,false,false,true,true,migration/rollback only; another database function,none_found,public.fn_heartbeat_tick,NOT_APPLICABLE,quarantined; service_role/postgres only ACL,NOT_APPLICABLE,low (INVOKER),no,postgres + service_role,LOW,KEEP_CURRENT_ACL,high,P1.7 quarantined; KEEP_CURRENT_ACL; direct grants: anon=false; auth=false; service=true; PUBLIC=false
game_core,fn_manage_waiting_rooms,"game_core.fn_manage_waiting_rooms(p_limit integer, p_capture boolean)",SECURITY DEFINER,yes,false,false,false,true,true,migration/rollback only; another database function,none_found,public.fn_heartbeat_tick,NOT_APPLICABLE,quarantined; service_role/postgres only ACL,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,postgres + service_role,LOW,KEEP_CURRENT_ACL,high,P1.7 quarantined; KEEP_CURRENT_ACL; direct grants: anon=false; auth=false; service=true; PUBLIC=false
game_core,fn_payout_room,game_core.fn_payout_room(p_room uuid),SECURITY DEFINER,no,true,true,true,true,true,another database function,none_found,fn_confirm_win,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=true; auth=true; service=true; PUBLIC=true; DEFINER without explicit search_path
game_core,fn_requeue_failed_draw_jobs,game_core.fn_requeue_failed_draw_jobs(),SECURITY DEFINER,yes,true,true,true,true,true,another database function,none_found,fn_janitor_sweep; public.rpc_requeue_failed_draw_jobs,UNKNOWN,body not fully reviewed this pass,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,manual review required,HIGH,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,fn_stamp_orphan_draws_on_terminal_rooms,game_core.fn_stamp_orphan_draws_on_terminal_rooms(),SECURITY DEFINER,yes,true,true,true,true,true,another database function,none_found,fn_janitor_sweep,UNKNOWN,body not fully reviewed this pass,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,manual review required,HIGH,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,fn_sync_player_affiliation_for_user,game_core.fn_sync_player_affiliation_for_user(p_user_id uuid),SECURITY DEFINER,yes,true,true,true,true,true,no active caller found,none_found,none_found,PARTIAL,role-related keywords present,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,manual review required,MEDIUM,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,fn_system_join_or_create_room,"game_core.fn_system_join_or_create_room(p_user_id uuid, p_template_id uuid, p_card_count integer, p_password text)",SECURITY DEFINER,yes,true,true,true,true,true,Railway service_role,game-engine; game-engine .rpc,none_found,NONE,service-role/cron assumed; no end-user authorization in body,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),no,postgres + service_role,HIGH,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,fn_trg_sync_player_affiliation_from_users,game_core.fn_trg_sync_player_affiliation_from_users(),SECURITY DEFINER,yes,true,true,true,true,true,trigger,none_found,trigger:trigger,NOT_APPLICABLE,trigger context; EXECUTE by role rarely used,DEFINER_REQUIRED,medium (DEFINER; mitigated if strong internal auth),no,trigger/internal only,MEDIUM,REMOVE_PUBLIC_DEFAULT_GRANT_IN_FUTURE,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,fn_try_promote_room_at_max_capacity,game_core.fn_try_promote_room_at_max_capacity(p_room uuid),SECURITY DEFINER,yes,true,true,true,true,true,another database function,none_found,none_found,UNKNOWN,body not fully reviewed this pass,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,manual review required,HIGH,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=false; PUBLIC=true
game_core,fn_validate_affiliation_roles,game_core.fn_validate_affiliation_roles(),SECURITY DEFINER,no,true,true,true,true,true,trigger,none_found,trigger:trigger,NOT_APPLICABLE,trigger context; EXECUTE by role rarely used,DEFINER_REQUIRED,medium (DEFINER; mitigated if strong internal auth),no,trigger/internal only,MEDIUM,REMOVE_PUBLIC_DEFAULT_GRANT_IN_FUTURE,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_core,rpc_apply_marks_for_draw,"game_core.rpc_apply_marks_for_draw(p_room_id uuid, p_draw_number integer)",SECURITY INVOKER,no,true,true,true,true,true,Railway service_role; another database function,game-engine; game-engine .rpc,fn_process_draw_jobs_batch*,NONE,service-role/cron assumed; no end-user authorization in body,NOT_APPLICABLE,low (INVOKER),no,postgres + service_role,HIGH,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=true; auth=true; service=true; PUBLIC=true
game_core,rpc_get_active_rooms,"game_core.rpc_get_active_rooms(p_only_status room_status[], p_price_min numeric, p_price_max numeric)",SECURITY INVOKER,no,true,true,true,true,true,no active caller found,none_found,none_found,NOT_APPLICABLE,INVOKER SQL helper; relies on caller privileges/RLS,NOT_APPLICABLE,low (INVOKER),no,manual review required,MEDIUM,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=true; auth=true; service=true; PUBLIC=true
game_core,rpc_get_lobby_price_summary,game_core.rpc_get_lobby_price_summary(p_only_status room_status[]),SECURITY INVOKER,no,true,true,true,true,true,no active caller found,none_found,none_found,NOT_APPLICABLE,INVOKER SQL helper; relies on caller privileges/RLS,NOT_APPLICABLE,low (INVOKER),no,manual review required,MEDIUM,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,rpc_get_room_seed_hash,game_core.rpc_get_room_seed_hash(p_room_id uuid),SECURITY INVOKER,no,true,true,true,true,true,no active caller found,none_found,none_found,UNKNOWN,body not fully reviewed this pass,NOT_APPLICABLE,low (INVOKER),no,manual review required,MEDIUM,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,rpc_pick_draw_jobs,"game_core.rpc_pick_draw_jobs(p_limit integer, p_worker_id integer, p_total_workers integer)",SECURITY INVOKER,no,true,true,true,true,true,Railway service_role; another database function,game-engine; game-engine .rpc,fn_process_draw_jobs_batch*,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,NOT_APPLICABLE,low (INVOKER),no,postgres + service_role,HIGH,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,rpc_pick_draw_jobs,game_core.rpc_pick_draw_jobs(p_limit integer),SECURITY INVOKER,no,true,true,true,true,true,Railway service_role; another database function,game-engine; game-engine .rpc,fn_process_draw_jobs_batch*,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,NOT_APPLICABLE,low (INVOKER),no,postgres + service_role,HIGH,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=true; auth=true; service=true; PUBLIC=true
game_core,rpc_reveal_room_seed,"game_core.rpc_reveal_room_seed(p_room_id uuid, OUT room_id uuid, OUT room_seed bytea, OUT room_seed_hash character, OUT status room_status)",SECURITY INVOKER,no,true,true,true,true,true,no active caller found,none_found,none_found,UNKNOWN,body not fully reviewed this pass,NOT_APPLICABLE,low (INVOKER),no,manual review required,MEDIUM,MANUAL_REVIEW_REQUIRED,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_core,set_rooms_updated_at,game_core.set_rooms_updated_at(),SECURITY INVOKER,no,true,true,true,true,true,trigger,none_found,trigger:trigger,NOT_APPLICABLE,trigger context; EXECUTE by role rarely used,NOT_APPLICABLE,low (INVOKER),no,trigger/internal only,MEDIUM,REMOVE_PUBLIC_DEFAULT_GRANT_IN_FUTURE,medium,direct grants: anon=true; auth=true; service=true; PUBLIC=true
game_core,signup_player_with_code,"game_core.signup_player_with_code(p_invitation_code text, p_username text, p_nickname text, p_country text, p_language text)",SECURITY DEFINER,no,true,true,true,true,true,anonymous web client; authenticated player,none_found,none_found,PARTIAL,auth.uid and/or status checks; incomplete privilege model or caller-supplied ids,DEFINER_PROBABLY_REQUIRED,medium (DEFINER; mitigated if strong internal auth),no,anon + authenticated,MEDIUM,KEEP_CURRENT_ACL,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_core,trg_after_draw_enqueue,game_core.trg_after_draw_enqueue(),SECURITY INVOKER,no,true,true,true,true,true,trigger,none_found,trigger:trigger,NOT_APPLICABLE,trigger context; EXECUTE by role rarely used,NOT_APPLICABLE,low (INVOKER),no,trigger/internal only,MEDIUM,REMOVE_PUBLIC_DEFAULT_GRANT_IN_FUTURE,medium,direct grants: anon=true; auth=true; service=true; PUBLIC=true
game_core,trg_rooms_stamp_waiting_started_at,game_core.trg_rooms_stamp_waiting_started_at(),SECURITY INVOKER,no,true,true,true,true,true,trigger,none_found,trigger:trigger,NOT_APPLICABLE,trigger context; EXECUTE by role rarely used,NOT_APPLICABLE,low (INVOKER),no,trigger/internal only,MEDIUM,REMOVE_PUBLIC_DEFAULT_GRANT_IN_FUTURE,medium,direct grants: anon=false; auth=false; service=false; PUBLIC=true
game_core,validate_invitation_code,game_core.validate_invitation_code(p_code text),SECURITY DEFINER,no,true,true,true,true,true,anonymous web client; authenticated player,none_found,none_found,UNKNOWN,body not fully reviewed this pass,UNKNOWN,medium (DEFINER; mitigated if strong internal auth),no,anon + authenticated,HIGH,REVIEW_SECURITY_DEFINER,low,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_consume_room_tickets,game_finance.fn_consume_room_tickets(p_room uuid),SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_distribute_ticket_commission,"game_finance.fn_distribute_ticket_commission(p_ticket uuid, p_admin_user uuid)",SECURITY DEFINER,no,true,true,true,true,true,Railway service_role,game-engine; game-engine .rpc,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_finish_room_and_settle,"game_finance.fn_finish_room_and_settle(p_room uuid, p_admin_user uuid)",SECURITY DEFINER,no,true,true,true,true,true,Railway service_role; another database function,game-engine; game-engine .rpc,evaluate; janitor; soft payouts; finance wrappers,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_lock_commission_snapshot,game_finance.fn_lock_commission_snapshot(),SECURITY INVOKER,no,true,true,true,true,true,trigger,none_found,trigger:trigger,NOT_APPLICABLE,trigger context; EXECUTE by role rarely used,NOT_APPLICABLE,low (INVOKER),yes,trigger/internal only,HIGH,REMOVE_PUBLIC_DEFAULT_GRANT_IN_FUTURE,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true
game_finance,fn_payout_room_prize,game_finance.fn_payout_room_prize(p_room uuid),SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_payout_winners,game_finance.fn_payout_winners(p_room uuid),SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_record_ticket_commission,game_finance.fn_record_ticket_commission(p_ticket uuid),SECURITY DEFINER,no,true,true,true,true,true,Railway service_role,game-engine; game-engine .rpc,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_add,"game_finance.fn_wallet_add(p_user uuid, p_amount numeric, p_currency text, p_desc text, p_type transaction_type, p_room uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=true; auth=true; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_apply_delta,"game_finance.fn_wallet_apply_delta(p_user_id uuid, p_currency text, p_amount_delta numeric, p_transaction_type transaction_type, p_source_kind text, p_source_ref text, p_description text, p_meta jsonb, p_allow_negative boolean)",SECURITY DEFINER,no,true,true,true,true,true,Railway service_role; authenticated admin,game-engine;app/lib/services; game-engine .rpc; app/api|services|lib .rpc,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=true; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_capture,"game_finance.fn_wallet_capture(p_user uuid, p_amount numeric, p_currency text, p_room uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_capture_and_distribute,game_finance.fn_wallet_capture_and_distribute(p_room uuid),SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_capture_join,"game_finance.fn_wallet_capture_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid, p_ticket uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_deposit,"game_finance.fn_wallet_deposit(p_user uuid, p_amount numeric, p_currency text, p_desc text)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_hold_join,"game_finance.fn_wallet_hold_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid, p_ticket uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_hold_join,"game_finance.fn_wallet_hold_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_release,"game_finance.fn_wallet_release(p_user uuid, p_amount numeric, p_currency text, p_room uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_release_join,game_finance.fn_wallet_release_join(p_ticket uuid),SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_release_join,"game_finance.fn_wallet_release_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid, p_ticket uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_release_join,"game_finance.fn_wallet_release_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_subtract,"game_finance.fn_wallet_subtract(p_user uuid, p_amount numeric, p_currency text, p_desc text, p_type transaction_type, p_room uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,NONE,no auth.uid / role gate in mutation body; relies on ACL + caller trust,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,CRITICAL,REVIEW_FUNCTION_AUTHORIZATION,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
game_finance,fn_wallet_summary,"game_finance.fn_wallet_summary(p_user uuid, p_currency text, p_since timestamp with time zone, p_room uuid)",SECURITY DEFINER,no,true,true,true,true,true,no active caller found,none_found,none_found,PARTIAL,role-related keywords present,DEFINER_PROBABLY_REQUIRED,high (DEFINER bypasses RLS by default),yes,postgres + service_role,HIGH,REVIEW_SECURITY_DEFINER,medium,direct grants: anon=false; auth=false; service=true; PUBLIC=true; DEFINER without explicit search_path
