schema,function_name,signature,owner,language,security_mode,execute_acl,primary_classification,repository_callers,database_callers,calls_functions,trigger_view_policy_dependency,cron_dependency,railway_usage,application_usage,tables_read,tables_written,financial_or_security_risk,duplicate_in_railway,confidence,evidence_notes,recommended_action
game_core,fn_generate_room_seed,game_core.fn_generate_room_seed(),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,none_found,,,,,indirect SoR,indirect,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,room/join SoR helper,KEEP
game_core,fn_janitor_repair_unsettled_finished,game_core.fn_janitor_repair_unsettled_finished(p_limit integer),postgres,plpgsql,SECURITY DEFINER,NULL,D. KEEP_FINANCE_OR_SECURITY_CRITICAL,game-engine,,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,high,game-engine .rpc,KEEP
game_core,fn_janitor_sweep,game_core.fn_janitor_sweep(),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",C. KEEP_MAINTENANCE,none_found,,,,cron.fn_janitor_sweep,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,active cron cron.fn_janitor_sweep,KEEP
game_core,fn_join_or_create_room_base,"game_core.fn_join_or_create_room_base(p_template_id uuid, p_card_count integer, p_password text)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,none_found,,,,,indirect SoR,indirect,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,room/join SoR helper,KEEP
game_core,fn_join_or_create_room_core,"game_core.fn_join_or_create_room_core(p_template_id uuid, p_card_count integer, p_password text)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,none_found,,,,,indirect SoR,indirect,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,room/join SoR helper,KEEP
game_core,fn_manage_room_live_actions,game_core.fn_manage_room_live_actions(),postgres,plpgsql,SECURITY INVOKER,"{postgres=X/postgres,service_role=X/postgres}",F. LEGACY_QUARANTINED,none_found,public.fn_heartbeat_tick,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),rollback retained,yes TS port,high,P1.7 ACL locked service_role/postgres only,KEEP_QUARANTINED
game_core,fn_manage_waiting_rooms,"game_core.fn_manage_waiting_rooms(p_limit integer, p_capture boolean)",postgres,plpgsql,SECURITY DEFINER,"{postgres=X/postgres,service_role=X/postgres}",F. LEGACY_QUARANTINED,none_found,public.fn_heartbeat_tick,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),rollback retained,yes TS port,high,P1.7 ACL locked service_role/postgres only,KEEP_QUARANTINED
game_core,fn_payout_room,game_core.fn_payout_room(p_room uuid),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,fn_confirm_win,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_core,fn_requeue_failed_draw_jobs,game_core.fn_requeue_failed_draw_jobs(),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",C. KEEP_MAINTENANCE,none_found,fn_janitor_sweep; public.rpc_requeue_failed_draw_jobs,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,maintenance/pool helper,KEEP
game_core,fn_stamp_orphan_draws_on_terminal_rooms,game_core.fn_stamp_orphan_draws_on_terminal_rooms(),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",C. KEEP_MAINTENANCE,none_found,fn_janitor_sweep,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,maintenance/pool helper,KEEP
game_core,fn_sync_player_affiliation_for_user,game_core.fn_sync_player_affiliation_for_user(p_user_id uuid),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",B. KEEP_APPLICATION_RPC,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,product helper,KEEP
game_core,fn_system_join_or_create_room,"game_core.fn_system_join_or_create_room(p_user_id uuid, p_template_id uuid, p_card_count integer, p_password text)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,game-engine,,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,game-engine .rpc,KEEP
game_core,fn_trg_sync_player_affiliation_from_users,game_core.fn_trg_sync_player_affiliation_from_users(),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,trigger dependency,KEEP
game_core,fn_try_promote_room_at_max_capacity,game_core.fn_try_promote_room_at_max_capacity(p_room uuid),postgres,plpgsql,SECURITY DEFINER,NULL,A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,none_found,,,,,indirect SoR,indirect,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,room/join SoR helper,KEEP
game_core,fn_validate_affiliation_roles,game_core.fn_validate_affiliation_roles(),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,trigger dependency,KEEP
game_core,rpc_apply_marks_for_draw,"game_core.rpc_apply_marks_for_draw(p_room_id uuid, p_draw_number integer)",postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,game-engine,fn_process_draw_jobs_batch*,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,game-engine .rpc,KEEP
game_core,rpc_get_active_rooms,"game_core.rpc_get_active_rooms(p_only_status room_status[], p_price_min numeric, p_price_max numeric)",postgres,sql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",B. KEEP_APPLICATION_RPC,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,product helper,KEEP
game_core,rpc_get_lobby_price_summary,game_core.rpc_get_lobby_price_summary(p_only_status room_status[]),postgres,sql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",B. KEEP_APPLICATION_RPC,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,product helper,KEEP
game_core,rpc_get_room_seed_hash,game_core.rpc_get_room_seed_hash(p_room_id uuid),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",B. KEEP_APPLICATION_RPC,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,product helper,KEEP
game_core,rpc_pick_draw_jobs,"game_core.rpc_pick_draw_jobs(p_limit integer, p_worker_id integer, p_total_workers integer)",postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,game-engine,fn_process_draw_jobs_batch*,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,game-engine .rpc,KEEP
game_core,rpc_pick_draw_jobs,game_core.rpc_pick_draw_jobs(p_limit integer),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,game-engine,fn_process_draw_jobs_batch*,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,game-engine .rpc,KEEP
game_core,rpc_reveal_room_seed,"game_core.rpc_reveal_room_seed(p_room_id uuid, OUT room_id uuid, OUT room_seed bytea, OUT room_seed_hash character, OUT status room_status)",postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",B. KEEP_APPLICATION_RPC,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,product helper,KEEP
game_core,set_rooms_updated_at,game_core.set_rooms_updated_at(),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,trigger dependency,KEEP
game_core,signup_player_with_code,"game_core.signup_player_with_code(p_invitation_code text, p_username text, p_nickname text, p_country text, p_language text)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),authz,no,medium,authz/registration,ACL_REVIEW
game_core,trg_after_draw_enqueue,game_core.trg_after_draw_enqueue(),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,trigger dependency,KEEP
game_core,trg_rooms_stamp_waiting_started_at,game_core.trg_rooms_stamp_waiting_started_at(),postgres,plpgsql,SECURITY INVOKER,NULL,E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,trigger dependency,KEEP
game_core,validate_invitation_code,game_core.validate_invitation_code(p_code text),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),authz,no,medium,authz/registration,ACL_REVIEW
game_finance,fn_consume_room_tickets,game_finance.fn_consume_room_tickets(p_room uuid),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_distribute_ticket_commission,"game_finance.fn_distribute_ticket_commission(p_ticket uuid, p_admin_user uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,game-engine,,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,high,game-engine .rpc,KEEP
game_finance,fn_finish_room_and_settle,"game_finance.fn_finish_room_and_settle(p_room uuid, p_admin_user uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,game-engine,evaluate; janitor; soft payouts; finance wrappers,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,high,game-engine .rpc,KEEP
game_finance,fn_lock_commission_snapshot,game_finance.fn_lock_commission_snapshot(),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),medium,no,high,trigger dependency,KEEP
game_finance,fn_payout_room_prize,game_finance.fn_payout_room_prize(p_room uuid),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_payout_winners,game_finance.fn_payout_winners(p_room uuid),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_record_ticket_commission,game_finance.fn_record_ticket_commission(p_ticket uuid),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,game-engine,,,,,yes,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,high,game-engine .rpc,KEEP
game_finance,fn_wallet_add,"game_finance.fn_wallet_add(p_user uuid, p_amount numeric, p_currency text, p_desc text, p_type transaction_type, p_room uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_apply_delta,"game_finance.fn_wallet_apply_delta(p_user_id uuid, p_currency text, p_amount_delta numeric, p_transaction_type transaction_type, p_source_kind text, p_source_ref text, p_description text, p_meta jsonb, p_allow_negative boolean)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,game-engine;app/lib/services,,,,,yes,yes,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,high,game-engine .rpc,KEEP
game_finance,fn_wallet_capture,"game_finance.fn_wallet_capture(p_user uuid, p_amount numeric, p_currency text, p_room uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_capture_and_distribute,game_finance.fn_wallet_capture_and_distribute(p_room uuid),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_capture_join,"game_finance.fn_wallet_capture_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid, p_ticket uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_deposit,"game_finance.fn_wallet_deposit(p_user uuid, p_amount numeric, p_currency text, p_desc text)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_hold_join,"game_finance.fn_wallet_hold_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid, p_ticket uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_hold_join,"game_finance.fn_wallet_hold_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_release,"game_finance.fn_wallet_release(p_user uuid, p_amount numeric, p_currency text, p_room uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_release_join,game_finance.fn_wallet_release_join(p_ticket uuid),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_release_join,"game_finance.fn_wallet_release_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid, p_ticket uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_release_join,"game_finance.fn_wallet_release_join(p_user uuid, p_amount numeric, p_currency text, p_room uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_subtract,"game_finance.fn_wallet_subtract(p_user uuid, p_amount numeric, p_currency text, p_desc text, p_type transaction_type, p_room uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_summary,"game_finance.fn_wallet_summary(p_user uuid, p_currency text, p_since timestamp with time zone, p_room uuid)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,fn_wallet_withdraw,"game_finance.fn_wallet_withdraw(p_user uuid, p_amount numeric, p_currency text, p_desc text)",postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),high,no,medium,finance domain,ACL_REVIEW
game_finance,set_wallets_updated_at,game_finance.set_wallets_updated_at(),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),medium,no,high,trigger dependency,KEEP
game_finance,trg_rooms_after_live,game_finance.trg_rooms_after_live(),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,trigger dependency,KEEP
game_finance,trg_tickets_after_paid,game_finance.trg_tickets_after_paid(),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,service_role=X/postgres}",E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,trigger dependency,KEEP
game_pool,activate_card_pool,game_pool.activate_card_pool(p_id uuid),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",C. KEEP_MAINTENANCE,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,maintenance/pool helper,KEEP
game_pool,fn_retain_last_n_pools,game_pool.fn_retain_last_n_pools(p_keep integer),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",C. KEEP_MAINTENANCE,none_found,,,,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,maintenance/pool helper,KEEP
game_pool,fn_sync_card_numbers,game_pool.fn_sync_card_numbers(),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",E. KEEP_DATABASE_INFRASTRUCTURE,none_found,,,trigger,,no,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,high,trigger dependency,KEEP
game_pool,generate_card_pool_housie,game_pool.generate_card_pool_housie(p_created_by uuid),postgres,plpgsql,SECURITY INVOKER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",A. KEEP_RAILWAY_TRANSACTION_PRIMITIVE,none_found,,,,,indirect SoR,indirect,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,room/join SoR helper,KEEP
load_test,_pool_cards_for_room,"load_test._pool_cards_for_room(p_pool_id uuid, p_room_id uuid, p_room_seed bytea, p_room_type room_type, p_limit integer)",postgres,sql,SECURITY INVOKER,NULL,G. CANDIDATE_UNUSED_NEEDS_VALIDATION,none_found,,,,,load-test scripts only,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,debug/test/monitor,INVESTIGATE
monitor,fn_rooms_settling_lag,monitor.fn_rooms_settling_lag(),postgres,sql,SECURITY INVOKER,NULL,G. CANDIDATE_UNUSED_NEEDS_VALIDATION,none_found,,,,,load-test scripts only,no,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),no,no,medium,debug/test/monitor,INVESTIGATE
public,can_read_user,public.can_read_user(target_user_id uuid),postgres,plpgsql,SECURITY DEFINER,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",D. KEEP_FINANCE_OR_SECURITY_CRITICAL,none_found,,,,,no,likely,(see definition; not fully parsed this pass),(see definition; not fully parsed this pass),authz,no,medium,authz/registration,ACL_REVIEW
