schema,name,args,security_mode,owner,acl_summary,anon_x,auth_x,service_x,authz,legitimate_actors,browser,api,railway,trigger,cron,sql_nested,classification,acl_recommendation,risk_notes
tournament,fn_wallet_capture_join,p_tournament_id|p_entry_id|p_amount|p_currency,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,auth.uid_partial,InternalSQL,—,—,—,—,—,calls_apply_delta,SERVER,revoke_PUBLIC,Nested tournament capture
tournament,fn_payout_tournament,p_tournament_id,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,NONE,Railway_ticks|InternalSQL,—,—,tournament_ticks,—,—,calls_apply_delta,SERVER,revoke_PUBLIC,Tournament prize path
tournament,fn_settle_commission_payouts,p_tournament_id,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,NONE,Railway_ticks|InternalSQL,—,—,tournament_ticks,—,—,calls_apply_delta,SERVER,revoke_PUBLIC,Commission payout
tournament,fn_admin_refund_cancelled_tournament,p_tournament_id,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,auth.uid+admin|super+active,Admin|Super,—,—,—,—,—,calls_apply_delta,SERVER,revoke_PUBLIC,No app rpc yet
tournament,fn_commission_payout,p_tournament_id|p_entry_id,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,NONE,InternalSQL,—,—,—,—,—,commission_ledger,SERVER,revoke_PUBLIC,Nested commission
tournament,fn_commission_snapshot,p_tournament_id|p_entry_id,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,NONE,InternalSQL|Trigger,—,—,—,entry_trigger,—,snapshot_only,SERVER,revoke_PUBLIC,Not balance mutator
tournament,fn_commission_snapshot_entry,p_tournament_id|p_entry_id,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,NONE,InternalSQL,—,—,—,—,—,snapshot_only,SERVER,revoke_PUBLIC,Not balance mutator
tournament,fn_calc_commission,p_tournament_id|p_user_id|p_gross,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,NONE,InternalSQL,—,—,—,—,—,pure_calc,SERVER,revoke_PUBLIC,Calc helper
tournament,fn_capture_entry_locks,p_tournament_id,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,NONE,InternalSQL,—,—,—,—,—,locks,SERVER,revoke_PUBLIC,Lock capture
tournament,capture_entry_locks,p_tournament_id,DEFINER,postgres,PUBLIC|authenticated|postgres,true,true,true,auth.uid,Player|Internal,—,—,—,—,—,locks,CLIENT,keep_or_review,Authenticated tournament path
tournament,release_entry_locks,p_tournament_id,DEFINER,postgres,PUBLIC|authenticated|postgres,true,true,true,NONE,InternalSQL,—,—,—,—,—,locks,SERVER,revoke_PUBLIC,Release locks
tournament,fn_burn_ding_locks,p_tournament_id,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,NONE,InternalSQL,—,—,—,—,—,ding_locks,SERVER,revoke_PUBLIC,Ding lock burn
tournament,trg_te_commission_snapshot,,DEFINER,postgres,DEFAULT_PUBLIC_LIKE,true,true,true,NONE,Trigger,—,—,—,tournament_entries,—,snapshot,SERVER,postgres_only,Trigger fn
tournament,buy_tickets,p_tournament_id|p_delta,DEFINER,postgres,PUBLIC|authenticated|postgres,true,true,true,auth.uid,Player,possible_legacy,—,—,—,—,may_nest_wallet,CLIENT,keep_current,Verify live callers
public,fn_join_or_create_room,p_template_id|p_card_count|p_password,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,auth.uid,Player,services/rooms.ts,—,—,—,—,to_core_hold,CLIENT,keep_current,Browser join
public,fn_system_join_or_create_room,p_user_id|p_template_id|p_card_count|p_password,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,NONE_system,Railway,—,—,commands,—,—,to_core_hold,HYBRID,revoke_PUBLIC_and_anon,Engine join; broad ACL
game_core,fn_join_or_create_room_core,p_template_id|p_card_count|p_password,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,—,hold+commission,SERVER,revoke_PUBLIC,Nested join core
game_core,fn_system_join_or_create_room,p_user_id|p_template_id|p_card_count|p_password,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,Railway,—,—,yes,—,—,hold+commission,SERVER,revoke_PUBLIC,System join core
public,fn_cancel_waiting_room,p_room|p_by_admin,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,ACCEPTABLE,Player|Admin,—,cancel-waiting-room,—,—,—,to_release,CLIENT,keep_current_review,API uses service_role
public,fn_cancel_waiting_room,p_room|p_by_admin|p_user,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,NONE_weak,API_passes_user,—,cancel-waiting-room,—,—,—,to_release,HYBRID,revoke_anon_review,User id arg overload
game_core,fn_cancel_waiting_room_single,p_room|p_actor|p_reason|p_require_single_player|p_now,DEFINER,postgres,see_live,true,true,true,NONE,InternalSQL,—,—,—,—,janitor,calls_release,SERVER,revoke_PUBLIC,Cancel helper
game_core,fn_force_cancel_waiting_room,p_room|p_reason|p_now,DEFINER,postgres,see_live,true,true,true,NONE,InternalSQL|Cron,—,—,—,janitor,—,calls_release,SERVER,revoke_PUBLIC,Force cancel
game_finance,fn_wallet_hold_join,p_user|p_amount|p_currency|p_room|p_ticket,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,join_core,calls_apply_delta,UNSAFE,service_role_only,PUBLIC; no auth
game_finance,fn_wallet_hold_join,p_user|p_amount|p_currency|p_room,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,legacy,calls_hold,UNSAFE,service_role_only,PUBLIC
game_finance,fn_wallet_release_join,p_user|p_amount|p_currency|p_room|p_ticket,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,cancel/janitor,calls_apply_delta,UNSAFE,service_role_only,PUBLIC
game_finance,fn_wallet_release_join,p_ticket,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,cancel,calls_release,SERVER,revoke_PUBLIC,PUBLIC residual
game_finance,fn_wallet_release_join,p_user|p_amount|p_currency|p_room,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,legacy,calls_release,SERVER,revoke_PUBLIC,PUBLIC residual
game_finance,fn_wallet_capture,p_user|p_amount|p_currency|p_room,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,settle,calls_apply_delta,UNSAFE,service_role_only,PUBLIC
game_finance,fn_wallet_capture_join,p_user|p_amount|p_currency|p_room|p_ticket,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,settle,calls_apply_delta,UNSAFE,service_role_only,PUBLIC
game_finance,fn_wallet_capture_and_distribute,p_room,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,settle,calls_capture,SERVER,revoke_PUBLIC,PUBLIC residual
game_finance,fn_wallet_release,p_user|p_amount|p_currency|p_room,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,legacy,calls_apply_delta,UNSAFE,service_role_only,PUBLIC
game_finance,fn_wallet_add,p_user|p_amount|p_currency|p_desc|p_type|p_room,DEFINER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,NONE,none_live,—,—,—,—,—,direct_UPDATE_bypass,UNSAFE,service_role_only,Bypasses apply_delta; broad ACL
game_finance,fn_wallet_subtract,p_user|p_amount|p_currency|p_desc|p_type|p_room,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,none_live,—,—,—,—,—,direct_UPDATE_bypass,UNSAFE,service_role_only,PUBLIC
game_finance,fn_wallet_deposit,p_user|p_amount|p_currency|p_desc,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,none_live,—,—,—,—,—,direct_UPDATE_bypass,UNSAFE,service_role_only,PUBLIC
game_finance,fn_wallet_withdraw,p_user|p_amount|p_currency|p_desc,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,none_live,—,—,—,—,—,direct_UPDATE_bypass,UNSAFE,service_role_only,PUBLIC
game_finance,fn_wallet_summary,p_user|p_currency|p_since|p_room,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,Internal_read,—,—,—,—,—,read_agg,SERVER,revoke_PUBLIC,Read helper not mutator
game_finance,fn_record_ticket_commission,p_ticket,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway|InternalSQL,—,—,nested_join,—,—,commissions_log,SAFE,keep_current,Batch0/1 locked
game_finance,fn_distribute_ticket_commission,p_ticket|p_admin_user,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway|InternalSQL,—,—,nested_settle,—,—,calls_apply_delta,SAFE,keep_current,Batch locked
game_finance,fn_finish_room_and_settle,p_room|p_admin_user,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway|Cron_janitor,—,—,settleRoom,—,janitor,calls_apply_delta,SAFE,keep_current,Batch locked
public,fn_finish_room_and_settle,p_room|p_admin_user,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway,—,—,via_wrapper,—,—,to_game_finance,SERVER,keep_current,Locked wrapper
public,fn_evaluate_room_after_draw,p_room_id|p_draw_number,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway,—,—,draw_batch,—,—,calls_settle,SERVER,keep_current,Locked
game_core,fn_evaluate_room_after_draw,p_room|p_draw,INVOKER,postgres,postgres|service_role,false,false,true,NONE,Railway,—,—,yes,—,—,calls_settle,SERVER,keep_current,Locked
game_core,fn_janitor_sweep,,DEFINER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,Cron|Railway,—,—,scheduler,—,cron,release+settle,SERVER,revoke_PUBLIC,PUBLIC residual
game_core,fn_janitor_repair_unsettled_finished,p_limit,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway,—,—,janitorRepair,—,—,calls_settle,SERVER,keep_current,Locked
public,fn_janitor_repair_unsettled_finished,p_limit,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway,—,—,yes,—,—,wrapper,SERVER,keep_current,Locked
public,fn_payout_room_if_full,p_room_id,DEFINER,postgres,postgres|service_role,false,false,true,NONE,InternalSQL,—,—,—,—,—,calls_settle,SERVER,keep_current,P1.12 locked
game_core,fn_payout_room,p_room,DEFINER,postgres,postgres|service_role,false,false,true,NONE,InternalSQL,—,—,—,—,—,calls_settle,SERVER,keep_current,P1.12 locked
game_finance,fn_payout_room_prize,p_room,DEFINER,postgres,postgres|service_role,false,false,true,NONE,InternalSQL,—,—,—,—,—,calls_settle,SERVER,keep_current,P1.12 locked
game_finance,fn_payout_winners,p_room,DEFINER,postgres,postgres|service_role,false,false,true,NONE,InternalSQL,—,—,—,—,—,calls_settle,SERVER,keep_current,P1.12 locked
public,rpc_apply_ding_credits_for_draw,p_room_id|p_draw_number|p_ding_per_card|p_credits,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway,—,—,ding_domain,—,—,ding_balances,SERVER,keep_current,Locked
public,rpc_backfill_missed_engine_ding,p_room_id,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway|Ops,—,—,possible,—,—,ding_backfill,SERVER,keep_current,P1.12 locked
public,rpc_finalize_engine_draw_job,complex,DEFINER,postgres,postgres|service_role,false,false,true,NONE,Railway,—,—,processEngineDrawJob,—,—,nests_ding,SERVER,keep_current,Locked
public,update_ding_balance,p_user_id|p_amount,INVOKER,postgres,postgres|service_role,false,false,true,NONE,Legacy_trigger,—,—,—,legacy,—,ding_balances,SERVER,keep_current,P1.12 locked
public,distribute_ding_on_draw,,INVOKER,postgres,postgres|service_role,false,false,true,NONE,Legacy,—,—,—,legacy,—,calls_update_ding,SERVER,keep_current,P1.12 locked
game_finance,set_wallets_updated_at,,INVOKER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,N/A,Trigger,—,—,—,wallets_BU,—,timestamp,SERVER,postgres_only,Trigger stamp
game_finance,fn_lock_commission_snapshot,,INVOKER,postgres,PUBLIC|postgres|service_role,true,true,true,NONE,InternalSQL,—,—,—,—,—,commission_lock,SERVER,revoke_PUBLIC,Not primary mutator
public,fn_aggregate_ding_for_processed_draw,,INVOKER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,NONE,Legacy,—,—,—,—,—,ding_agg,HYBRID,revoke_PUBLIC_anon_auth,Review if dead
public,fn_ding_aggregate_dryrun_on_draw_processed,,INVOKER,postgres,PUBLIC|anon|authenticated|postgres|service_role,true,true,true,NONE,Legacy_dryrun,—,—,—,—,—,dryrun,HYBRID,revoke_PUBLIC_anon_auth,Dryrun helper
